Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"FS","Données de la sécurité alimentaire","710","Afrique du Sud","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2010","2010","indice","-0.03","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","710","Afrique du Sud","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2011","2011","indice","0.02","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","710","Afrique du Sud","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2012","2012","indice","-0.03","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","710","Afrique du Sud","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2013","2013","indice","-0.05","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","710","Afrique du Sud","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2014","2014","indice","-0.15","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","710","Afrique du Sud","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2015","2015","indice","-0.21","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","710","Afrique du Sud","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","-0.14","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","710","Afrique du Sud","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2017","2017","indice","-0.28","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","710","Afrique du Sud","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2018","2018","indice","-0.23","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","008","Albanie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2000","2000","indice","-0.54","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","008","Albanie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2002","2002","indice","-0.29","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","008","Albanie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2003","2003","indice","-0.31","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","008","Albanie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2004","2004","indice","-0.43","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","008","Albanie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2005","2005","indice","-0.51","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","008","Albanie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2006","2006","indice","-0.51","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","008","Albanie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2007","2007","indice","-0.2","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","008","Albanie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2008","2008","indice","-0.03","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","008","Albanie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2009","2009","indice","-0.05","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","008","Albanie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2010","2010","indice","-0.19","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","008","Albanie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2011","2011","indice","-0.28","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","008","Albanie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2012","2012","indice","-0.14","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","008","Albanie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2013","2013","indice","0.09","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","008","Albanie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2014","2014","indice","0.49","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","008","Albanie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2015","2015","indice","0.35","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","008","Albanie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","0.34","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","008","Albanie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2017","2017","indice","0.38","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","008","Albanie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2018","2018","indice","0.37","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","012","Algérie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2000","2000","indice","-1.43","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","012","Algérie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2002","2002","indice","-1.63","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","012","Algérie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2003","2003","indice","-1.75","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","012","Algérie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2004","2004","indice","-1.36","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","012","Algérie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2005","2005","indice","-0.92","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","012","Algérie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2006","2006","indice","-1.13","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","012","Algérie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2007","2007","indice","-1.15","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","012","Algérie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2008","2008","indice","-1.09","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","012","Algérie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2009","2009","indice","-1.2","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","012","Algérie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2010","2010","indice","-1.26","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","012","Algérie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2011","2011","indice","-1.36","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","012","Algérie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2012","2012","indice","-1.33","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","012","Algérie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2013","2013","indice","-1.2","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","012","Algérie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2014","2014","indice","-1.19","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","012","Algérie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2015","2015","indice","-1.09","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","012","Algérie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","-1.1","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","012","Algérie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2017","2017","indice","-0.92","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","012","Algérie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2018","2018","indice","-0.84","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","276","Allemagne","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2000","2000","indice","1.41","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","276","Allemagne","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2002","2002","indice","1.1","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","276","Allemagne","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2003","2003","indice","0.58","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","276","Allemagne","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2004","2004","indice","0.64","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","276","Allemagne","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2005","2005","indice","0.89","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","276","Allemagne","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2006","2006","indice","1.03","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","276","Allemagne","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2007","2007","indice","1","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","276","Allemagne","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2008","2008","indice","0.95","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","276","Allemagne","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2009","2009","indice","0.86","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","276","Allemagne","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2010","2010","indice","0.8","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","276","Allemagne","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2011","2011","indice","0.84","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","276","Allemagne","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2012","2012","indice","0.78","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","276","Allemagne","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2013","2013","indice","0.93","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","276","Allemagne","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2014","2014","indice","0.93","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","276","Allemagne","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2015","2015","indice","0.7","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","276","Allemagne","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","0.68","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","276","Allemagne","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2017","2017","indice","0.59","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","276","Allemagne","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2018","2018","indice","0.59","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","020","Andorre","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2000","2000","indice","1.17","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","020","Andorre","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2002","2002","indice","1.28","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","020","Andorre","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2003","2003","indice","1.46","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","020","Andorre","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2004","2004","indice","1.4","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","020","Andorre","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2005","2005","indice","1.38","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","020","Andorre","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2006","2006","indice","1.35","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","020","Andorre","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2007","2007","indice","1.34","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","020","Andorre","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2008","2008","indice","1.34","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","020","Andorre","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2009","2009","indice","1.3","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","020","Andorre","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2010","2010","indice","1.28","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","020","Andorre","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2011","2011","indice","1.3","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","020","Andorre","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2012","2012","indice","1.29","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","020","Andorre","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2013","2013","indice","1.28","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","020","Andorre","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2014","2014","indice","1.29","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","020","Andorre","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2015","2015","indice","1.39","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","020","Andorre","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","1.41","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","020","Andorre","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2017","2017","indice","1.42","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","020","Andorre","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2018","2018","indice","1.42","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","024","Angola","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2000","2000","indice","-2.04","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","024","Angola","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2002","2002","indice","-1.58","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","024","Angola","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2003","2003","indice","-1.01","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","024","Angola","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2004","2004","indice","-1.06","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","024","Angola","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2005","2005","indice","-0.89","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","024","Angola","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2006","2006","indice","-0.54","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","024","Angola","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2007","2007","indice","-0.67","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","024","Angola","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2008","2008","indice","-0.36","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","024","Angola","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2009","2009","indice","-0.35","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","024","Angola","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2010","2010","indice","-0.23","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","024","Angola","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2011","2011","indice","-0.37","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","024","Angola","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2012","2012","indice","-0.39","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","024","Angola","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2013","2013","indice","-0.39","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","024","Angola","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2014","2014","indice","-0.33","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","024","Angola","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2015","2015","indice","-0.5","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","024","Angola","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","-0.32","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","024","Angola","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2017","2017","indice","-0.38","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","024","Angola","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2018","2018","indice","-0.34","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","028","Antigua-et-Barbuda","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2000","2000","indice","0.71","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","028","Antigua-et-Barbuda","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2002","2002","indice","0.79","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","028","Antigua-et-Barbuda","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2003","2003","indice","0.87","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","028","Antigua-et-Barbuda","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2004","2004","indice","1.09","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","028","Antigua-et-Barbuda","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2005","2005","indice","0.83","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","028","Antigua-et-Barbuda","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2006","2006","indice","0.8","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","028","Antigua-et-Barbuda","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2007","2007","indice","0.8","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","028","Antigua-et-Barbuda","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2008","2008","indice","0.81","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","028","Antigua-et-Barbuda","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2009","2009","indice","0.72","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","028","Antigua-et-Barbuda","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2010","2010","indice","0.9","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","028","Antigua-et-Barbuda","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2011","2011","indice","0.96","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","028","Antigua-et-Barbuda","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2012","2012","indice","0.98","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","028","Antigua-et-Barbuda","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2013","2013","indice","0.96","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","028","Antigua-et-Barbuda","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2014","2014","indice","0.98","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","028","Antigua-et-Barbuda","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2015","2015","indice","1","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","028","Antigua-et-Barbuda","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","0.88","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","028","Antigua-et-Barbuda","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2017","2017","indice","0.75","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","028","Antigua-et-Barbuda","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2018","2018","indice","0.84","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","682","Arabie saoudite","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2000","2000","indice","0.23","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","682","Arabie saoudite","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2002","2002","indice","0","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","682","Arabie saoudite","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2003","2003","indice","0.14","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","682","Arabie saoudite","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2004","2004","indice","-0.66","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","682","Arabie saoudite","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2005","2005","indice","-0.24","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","682","Arabie saoudite","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2006","2006","indice","-0.52","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","682","Arabie saoudite","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2007","2007","indice","-0.47","X","Ciffre de sources internationales",""
